Country,col,n,val,Year,n.x,WPF_mean,Year.x,n.y,polity2_M,democ_M,autoc_M,Year.y,Entity,Region,Region_num,polity_Bin
ARG,ConfGV_M,2,2.91652259134543,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ
ARG,ConfTV_M,2,2.8565073370565353,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ
ARG,FightForCountry_M,2,0.5276742245096675,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ
ARG,GeneralTrust_M,2,0.219430241976309,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ
ARG,IntPoli_M,2,2.84718999206693,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ
ARG,SocialNormObedience_M,2,0.310361633545964,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ
ARG,SocialNormRespect_M,2,0.6311245874028399,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ
ARG,SocialNormUnselfishness_M,2,0.4369483781664715,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ
ARG,TrustAcquaintance_M,2,3.07780445436325,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ
ARG,TrustFamily_M,2,3.8842045759118946,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ
ARG,TrustForeigner_M,2,2.612234042553195,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ
ARG,TrustNeighbor_M,2,2.93396241392312,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ
ARG,TrustPagan_M,2,2.6409920419316704,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ
ARG,TrustStranger_M,2,2.094921776622645,2013_2017,9,73.40777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,8.666666666666666,8.666666666666666,0,2013_2014_2015_2016_2017_2018,Argentina,"Latin America 
&
 Caribbean",4,Democ
ARM,ConfGV_M,2,2.84591745257647,2011_2021,9,70.98777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,5.333333333333333,5.333333333333333,0,2013_2014_2015_2016_2017_2018,Armenia,"Europe 
&
 Central Asia",3,Democ
ARM,ConfTV_M,2,3.01254400578954,2011_2021,9,70.98777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,5.333333333333333,5.333333333333333,0,2013_2014_2015_2016_2017_2018,Armenia,"Europe 
&
 Central Asia",3,Democ
ARM,FightForCountry_M,2,0.8044254897497355,2011_2021,9,70.98777777777778,2013_2014_2015_2016_2017_2018_2019_2020_2021,6,5.333333333333333,5.333333333333333,0,2013_2014_2015_2016_2017_2018,Armenia,"Europe 
&
 Central Asia",3,Democ
